title,company,location,posted_date,salary,skills,experience_required,description,employment_type,url,source,repost_count,first_seen,last_seen
"Staff Software Engineer: Microservices, Kafka & Data Systems",Client of Michael Page,"Riyadh, Saudi Arabia",2026-09-11T13:31:19Z,Not Specified,"erp, microservices, saas",Not Specified,"Client of Michael Page seeks a Staff Software Engineer in Riyadh to lead modernisation efforts, design distributed data solutions, and mentor engineers. You will collaborate with cross-functional teams to align software with business needs and ensure system reliability in a production environment. The role emphasizes legacy modernization, microservices migration, and building scalable data architectures within an ERP/SaaS context in a large Tech environment.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10734089__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Software Developer,Modern Mills Company,"Jeddah, Saudi Arabia",2026-09-11T13:31:19Z,Not Specified,"api, dotnet, javascript, microservices, sharepoint, version-control",Not Specified,The role is responsible for developing maintaining and improving all in-house NET applications and services The candidate will manage and enhance the company s intranet portal build and support integrations using NET technologies and contribute to microservices development The role also includes front-end work using JavaScript SharePoint customization and administration and mobile application design The goal is to deliver stable secure and scalable solutions that support daily business operations and future growth Key Accountabilities Develop maintain and enhance all internal NET applications to ensure smooth and reliable operations Design and manage the organization s intranet portal including new features UI updates and performance improvements Build and support system integrations using NET frameworks APIs and web services Develop and maintain microservices to improve scalability performance and modularity of internal,Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10734234__7118?geoID=18992&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Solution Architect DevOps,Client of AIQU,Saudi Arabia,2026-09-11T13:31:20Z,Not Specified,"agile, automation, aws, azure, bash, ci-cd, cloud, cloud-native, containerization, devops, docker, gcp, infrastructure-as-code, kubernetes, prometheus, python, scrum",Not Specified,About the Role We are seeking an experienced Solution Architect DevOps based in Dammam to lead the design implementation and optimization of cloud-native solutions You will leverage your expertise in solution architecture DevOps practices and Google Cloud Platform to drive automation ensure system reliability and guide cross-functional teams in delivering scalable secure and high-performance applications Responsibilities Design and document end-to-end solution architectures aligned with business requirementsLead the implementation of DevOps practices including CI CD pipelines infrastructure as code and automated testingArchitect and deploy scalable secure and resilient environments on Google Cloud PlatformCollaborate with development QA and operations teams to define requirements and best practicesDevelop and maintain automation scripts for provisioning configuration and monitoringPerform architecture reviews and code reviews to ensure adherence to,Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733797__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
GCP DevOps & Cloud Solutions Architect,Client of AIQU,Saudi Arabia,2026-09-11T13:31:20Z,Not Specified,"automation, bash, ci-cd, cloud, cloud-native, devops, gcp, infrastructure-as-code, python",7+ years,"Client of AIQU is seeking an experienced Solution Architect DevOps based in Dammam to lead the design, implementation, and optimization of cloud-native solutions on Google Cloud Platform. You will guide cross-functional teams to deliver scalable, secure, high-performance applications and drive automation across the stack. The ideal candidate has 7+ years in architecture or DevOps roles, deep GCP expertise, and strong CI/CD, IaC, and scripting skills (Python/Bash).",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10734346__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Data Engineer Intern — Real Production Data (KSA),تابي,"Riyadh, Saudi Arabia",2026-09-11T13:31:21Z,Not Specified,"airflow, bigquery, data-engineering, dbt, machine-learning, python, sql",Not Specified,"Tabby invites a high-potential intern to join the Data Platform & ML team in KSA for hands-on data engineering work. You will tackle real production tasks, contributor to data models, pipelines and quality checks, under senior review and mentoring. This is a full-time internship with growth into data engineering roles. We value strong SQL and Python foundations, familiarity with dbt, Airflow, BigQuery, and BI tools, plus a proactive, collaborative mindset and English documentation ability.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733490__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Intern Data Engineer,تابي,"Riyadh, Saudi Arabia",2026-09-11T13:31:21Z,Not Specified,"airflow, analytics, bigquery, cloud, data-engineering, data-modeling, data-pipelines, data-quality, data-visualization, data-warehousing, dbt, git, machine-learning, python, regulatory-compliance, sql, workflow-orchestration",Not Specified,"Intern Data Engineer Department: Data Platform & ML Employment Type: Internship Location: KSA Reporting To: Yahya Aloyoni Description Tabby builds financial products used by millions of users across the GCC. Data is a core part of how products, risk, finance and operations are built and scaled. Data is a core part of how products, risk, finance and operations are built and scaled. We work with large volumes of data under strict requirements for quality, cost efficiency and regulatory compliance. This is not a course and not a shadowing programme. It is an engineering role with real responsibility. Data engineers at Tabby work on the analytics and data platforms behind business decisions, product development and machine learning use cases. That covers data modelling, data pipelines, data quality and consumption by several internal teams. The internship is designed for strong",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733710__7118?geoID=12&utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Data Engineer: Lakehouse & AI Platform Lead,Intelmatix,Saudi Arabia,2026-09-11T13:31:21Z,Not Specified,"ai, analytics, cloud, data-governance, data-pipelines, data-quality, lakehouse, spark",Not Specified,"Intelmatix seeks a Senior Data Engineer to architect and deliver an enterprise-grade Data Lakehouse for AI-ready analytics. You will design scalable data pipelines, ensure data quality, and build a secure platform compliant with national standards in Saudi Arabia. Based in Riyadh, you will lead a co-build effort with client teams, mentor engineers, and create runbooks to enable long-term operational ownership. Strong in Spark, cloud architectures, and data governance is required.",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10734456__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Sales Engineer (Data Centre Specialist),johnson controls arabia,Saudi Arabia,2026-09-11T13:31:22Z,Not Specified,Not Specified,Not Specified,"Identify, develop, and close new business opportunities within the data center and mission-critical facilities market Build and maintain strong relationships with data center owners, operators, consultants, and EPC contractors Prepare technical and commercial proposals for precision cooling systems, CRAC/CRAH units, chillers, and related HVAC solutions Conduct site assessments and collaborate with engineering teams to design cooling solutions that meet client requirements and capacity needs Present technical solutions to clients, addressing energy efficiency (PUE), redundancy, and reliability requirements Develop and execute account and territory sales strategies to meet revenue targets Prepare accurate cost estimates, quotations, and bid submissions Negotiate contracts and close sales in line with company pricing and margin guidelines Stay current on data center industry trends, competitor offerings, and",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733694__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Data Center Cooling Solutions Engineer,johnson controls arabia,Saudi Arabia,2026-09-11T13:31:22Z,Not Specified,Not Specified,7+ years,"Johnson Controls Arabia is seeking an experienced HVAC sales professional to identify and close opportunities in data centers and mission-critical facilities in Saudi Arabia. You will build strong relationships with owners, operators, consultants, and EPCs while designing cooling solutions with engineering teams and presenting proposals that address energy efficiency, redundancy, and reliability. The role requires a bachelor’s degree in mechanical engineering and 7+ years in HVAC sales, with a",Not Specified,https://en-sa.whatjobs.com/pub_api__cpl__10733267__7118?utm_campaign=publisher&utm_medium=api&utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
QA Engineer | Workshop | Saudi Arabia,Hudson IT and Manpower,"Al Jubail, Eastern Province, Saudi Arabia",2026-09-11T13:51:26Z,Not Specified,"api, aws",10+ years,"Lead QA/QC inspections for pressure vessels, tanks, and heat exchangers in Oil & Gas or petrochemical projects, ensuring compliance with ASME, API, and Aramco standards; possess 10+ years industrial experience with 6 years in QA/QC and 4 years in Oil & Gas; certified CWI or CSWIP with ASNT Level II in NDT (UT, PT, MT, RT, VT); proficient in ASME, API, AWS, and relevant fabrication/inspection codes; review and approve WPS, PQRs, and welder qualifications; monitor NDT activities and personnel; manage outsourced fabrication/inspection, coordinate with vendors and third-party inspectors; prepare ITPs, inspection reports, and final quality dossiers; interface with clients for hold/witness points, DCL submissions, and testing; handle NCRs, corrective actions, technical clarifications, and drive quality improvements. Experience : Min. 10 Years Specialization : Manufacturing of pressure vessels, tanks, heat",Not Specified,https://hudsonmanpower.recruitee.com/o/qa-engineer-workshop-saudi-arabia-1?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Frontend and Backend Web Application Developer,Jobs for Humanity,"Riyadh, sa",2026-09-11T15:47:12Z,Not Specified,"accessibility, angular, api, css, git, html, javascript, nodejs, react, rest, scss, vue, wcag",Not Specified,"We’re seeking a Frontend/Full-Stack Web Developer to design, build, and maintain responsive, high-performance web applications. You’ll translate product requirements into intuitive user interfaces and reliable backend integrations while collaborating to ensure quality through testing, reviews, and performance best practices. Job Purpose Build and maintain modern web experiences by creating reusable UI components, optimizing performance and accessibility, and integrating RESTful APIs and backend services reliably. Job Duties and Responsibilities HTML CSS/SCSS JavaScript Responsive UI across browsers React or Angular or Vue Reusable components and layouts Web performance optimization Accessibility",Not Specified,https://jobs.smartrecruiters.com/JobsForHumanity/744000149058539-frontend-and-backend-web-application-developer?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Senior Sales Engineer - KSA,Zscaler,Remote - Saudi Arabia,2026-09-11T16:59:15Z,Not Specified,"agile, ai, analytics, cissp, cloud, cloud-security, go-to-market, machine-learning, pre-sales, proof-of-concept, sales-engineering, sase, zero-trust",Not Specified,"Zscaler (NASDAQ: ZS) accelerates digital transformation so customers can be more agile, efficient, resilient, and secure. The Zscaler Zero Trust Exchange™️ platform protects thousands of customers from cyberattacks and data loss by securely connecting users, devices, and applications in any location. Distributed across 160+ public exchanges globally and thousands of private exchanges at the edge, the SASE-based Zero Trust Exchange is the world’s largest in-line cloud security platform. We believe the future of work is Human + AI and are building an AI-native enterprise where human potential is amplified by machine intelligence to solve the world’s hardest security challenges. Driven by deep customer obsession, we are committed to the mission, outcome, and to each other. We bring these commitments to life through three core behaviors: ownership and collaboration, trust through outcomes and impact, and a challenge culture with ongoing feedback. Ready to make an impact at",Not Specified,https://job-boards.greenhouse.io/zscaler/jobs/5232096007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Purple Teaming Engineer - Embedded Security ,Lucid Motors,"Riyadh, Saudi Arabia",2026-09-11T19:40:06Z,Not Specified,"accessibility, android, anomaly-detection, automation, burp-suite, cloud, cloud-security, cybersecurity, elk, embedded-linux, embedded-systems, firmware, linux, mqtt, network-security, python, rtos, siem, splunk, technical-writing, threat-hunting",Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/4975699007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Sr. Test Engineer (Inverter),Lucid Motors,Saudi Arabia,2026-09-11T19:40:06Z,Not Specified,"accessibility, analytics, assembly, autocad, automation, data-visualization, ethernet, labview, matlab, oscilloscope, python",Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5177759007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
Security Coordinator,Lucid Motors,Saudi Arabia,2026-09-11T19:40:06Z,Not Specified,"accessibility, vendor-management",Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5099785007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Sr. Staff Project Manager, Retail Development",Lucid Motors,"Riyadh, Saudi Arabia",2026-09-11T19:40:06Z,Not Specified,"accessibility, pmp, primavera-p6",Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5198264007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
QMS & GRC Engineer,Lucid Motors,Saudi Arabia,2026-09-11T19:40:06Z,Not Specified,"accessibility, iso-9001, performance-management",Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5207660007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Security Specialist, SOC",Lucid Motors,"King Abdullah Economic City, 02",2026-09-11T19:40:06Z,Not Specified,Not Specified,Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5207711007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Assoc. Security Specialist, SOC",Lucid Motors,"King Abdullah Economic City, 02",2026-09-11T19:40:06Z,Not Specified,Not Specified,Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5207699007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
"Sr. Hardware Technician, PWT",Lucid Motors,"King Abdullah Economic City, 02",2026-09-11T19:40:06Z,Not Specified,Not Specified,Not Specified,"About Lucid At Lucid, we are creating exceptional mobility experiences through innovation to drive the world forward. Built on Lucid’s proprietary technology and software-defined vehicle architecture, our award-winning vehicles bring our “Compromise Nothing™” approach to the global automotive market. That means refusing to choose between performance and sustainability, design and engineering, ambition and integrity. In Lucid Air and Lucid Gravity, we have designed and built vehicles that have redefined their segments, combining exceptional range, performance, design, and expansive space in a single experience. We achieve this through deep vertical integration, with design, engineering, and production happening in-house across our global offices and manufacturing facilities. Our teams come from industries around the world, united by a shared commitment to excellence. By refusing to settle, you can help",Not Specified,https://job-boards.greenhouse.io/lucidmotors/jobs/5213608007?utm_source=freehire.me,freehire,1,2026-09-12T11:37:40.915722+00:00,2026-09-12T11:45:38.153857+00:00
